세금종류,품목,관세율,부가세율
일반물품,의류/수영복/속옷,13%,10%
일반물품,스카프/숄/넥타이/장갑,8%,10%
일반물품,액세사리,8%,10%
일반물품,신발류,13%,10%
일반물품,가방/핸드백,8%,10%
일반물품,선글래스,8%,10%
일반물품,화장품/향수,8%,10%
일반물품,펜/잉크,8% / 6.5%,10%
일반물품,서적/잡지/우표,-,-
일반물품,면도기/다리미,8%,10%
일반물품,CDP/MP3/오디오/스피커,8%,10%
일반물품,노트북/PDA/컴퓨터/컴퓨터 부품,8%,10%
일반물품,캠코더,8%,10%
일반물품,폴라로이드 카메라/필름 카메라,8%,10%
일반물품,디지털 카메라,-,10%
일반물품,손목시계,8%,10%
일반물품,골프채,8%,10%
일반물품,모터보트 관련,8%,10%
일반물품,행글라이더,8%,10%
일반물품,수상스키,8%,10%
일반물품,영사기,8%,10%
일반물품,헤어관련용품,8%,10%
일반물품,음반(CD / DVD),8%,10%
일반물품,커피머신,8%,10%
일반물품,RC,8%,10%
일반물품,유리식기종류,8%,10%
일반물품,자동차(오토바이)부품,8%,10%
일반물품,전등,8%,10%
일반물품,음향장비/악기,8%,10%
일반물품,레고/블럭장난감,8%,10%
일반물품,유모차,8%,10%
일반물품,스포차장비(가구),8%,10%
일반물품,기저귀,,10%
일반물품,기념주화,,10%
일반물품,텐트,13%,10%
일반물품,PDP,8%,10%
일반물품,가습기,8%,10%
일반물품,낚시대,8%,10%
일반물품,동물사료,8%,10%
일반물품,GPS 수신기,-,10%
일반물품,그림,-,-
일반물품,꿀,20%,10%
일반물품,가구(장롱/쇼파/침대/침구류 등),-,10%
일반물품,방독면,8%,10%
일반물품,건강보조식품(최대수량 6개),8%,10%
일반물품,액션피규어,8%,10%
일반물품,소프트웨어,-,10%
일반물품,전기전자제어판,8%,10%
일반물품,자전거(부품),8%,10%
일반물품,공기청정기,8%,10%
일반물품,무전기(통신허가필요),-,10%
일반물품,페인트,7%,10%
일반물품,금괴(골드바),3%,10%
일반물품,식품(과자/시리얼/젤리 등),8%,10%
일반물품,카메라렌즈,8%,10%
일반물품,LCD패널,8%,10%
일반물품,정수기(필터),8%,10%
일반물품,담배,40%,-
일반물품,스프레이(락카),8%,10%
일반물품,도자기,8%,10%
일반물품,도자기(골동품-100년이상),-,-
일반물품,우산,13%,10%
일반물품,자동차/오토바이/배(요트)/트레일러 등,별도문의,별도문의
일반물품,카페트,10%,10%